licenca,sigla
Declaração de Atividade Não Constante da Resolução CONSEMA,DANC
Renovação AuA,AUA
Certidão de Conformidade Ambiental,CCA
Ampliação LAI,LAI
Licença Ambiental de Operação,LAO
Autorização Ambiental,AUA
Licença Ambiental de Operação de Correção,LAO_COR
Certidão de Atividade Não Constante da Resolução CONSEMA,DANC
Licença Ambiental de Instalação,LAI
Renovação LAO,REN_LAO
Licença Ambiental Prévia,LAP
Licença Ambiental Prévia com dispensa de Licença Ambiental de Instalação,LAP_LAI
Ampliação LAO,LAO
Licença Ambiental de Operação Parcial,LAO
Renovação LAI,LAI
Ampliação LAP,LAP
