requerimento,razao_social,cnpj,fase,data_cadastro,data_protocolo,data_equipe,processo,status,tipo_licenca,codigo_consema,descricao_consema,porte,potencial_poluidor,inscr_imob,x,y,endereco,cep,regional,data_licenca
73737,Aragão da Cunha Ltda. - ME,03176942000113,Cadastrado(Aguardando Documento Digital),2024-02-16T16:27:44Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Certidão de Conformidade Ambiental,11.60.02,"SERRALHERIA, FABRICAÇÃO DE TANQUES, RESERVATÓRIOS E OUTROS RECIPIENTES METÁLICOS E DE ARTIGOS DE CALDEIREIRO SEM TRATAMENTO QUÍMICO SUPERFICIAL E/OU GALVANOTÉCNICO E/OU PINTURA POR ASPERSÃO E/OU ESMALTAÇÃO",-,M,NA,720954.11,7015668.96,"Rodovia Antônio Heil, 8523 - Arraial dos Cunhas",88318112,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73720,Nogueira e Filhos,75439018000193,Cadastrado(Aguardando Documento Digital),2024-02-16T15:21:27Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,2010140403750002000,-26.9055,4865564,"Rua Lauro Muller, 68 - Centro",88301400,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73719,Cavalcanti Ltda.,59308417000169,FCEI cancelado,2024-02-16T15:20:44Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cancelado,Licença Ambiental Prévia,47.84.00,"TERMINAL  RODOVIÁRIO  DE  CARGA  ONDE  SE  OBSERVE  PELO  MENOS  UMA  DAS  SEGUINTES CONDIÇÕES:A) NÃO POSSUA PLANO DIRETOR, DE ACORDO COM A LEI FEDERAL Nº 10.257, DE 10 DE JULHO DE 2001;B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE.",M,M,212.033.04.0890.0000.000,-26.887,-48.6782,"Rua Henrique Vigarani, 90 - Barra do Rio",88305555,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73718,da Paz Castro - EI - EI,79428015000105,Cadastrado(Aguardando Documento Digital),2024-02-16T15:20:10Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Declaração de Atividade Não Constante da Resolução CONSEMA,0,CERTIDÃO QUE NÃO POSSUI ATIVIDADE,-,-,NA,730104.289,7019712.009,"Rua José Gall, 1115 - Carvalho",88307102,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73686,Teixeira - EI,68314902000136,Requerimento enviado ao protocolo,2024-02-16T10:38:42Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Certidão de Conformidade Ambiental,71.70.10,"COMPLEXOS TURÍSTICOS E DE LAZER, INCLUSIVE PARQUES TEMÁTICOS E AUTÓDROMOS",-,M,NA,725924.98,7011983.05,"Rua Benjami, s/n - Rio do Meio",88340000,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73649,Correia - EI,19638752000100,Cadastrado(Aguardando Documento Digital),2024-02-15T14:40:24Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Autorização Ambiental,71.00.00,"SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS, EQUIPAMENTOS OU VEÍCULOS, COM PINTURA, EXCETO MANUTENÇÃO DE ELETRODOMÉSTICOS",U,M,NA,-72.933,7020743,"Rua Doutor Hermes Atílio Mariani, 497 - Cidade Nova",88308030,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73646,Monteiro S.A.,18237069000107,Cadastrado(Aguardando Documento Digital),2024-02-15T14:22:30Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação de Correção,71.11.01,"CONDOMÍNIOS DE CASAS OU EDIFÍCIOS, ASSIM DEFINIDOS PELA LEGISLAÇÃO ESPECÍFICA, OU EM MUNICÍPIOS ONDE SE OBSERVE PELO MENOS UMA DAS SEGUINTES CONDIÇÕES: A) NÃO POSSUA PLANO DIRETOR; B) NÃO EXISTA SISTEMA DE COLETA E TRATAMENTO DE ESGOTO NA ÁREA OBJETO DA ATIVIDADE",P,M,202.100.01.0158.0002.000,730505.89,7021735.11,"Rua Luiz Bonifácio Pinto, 368 - São João",88304320,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73644,Moreira da Costa e Filhos S/A,34207586000181,Cadastrado(Aguardando Documento Digital),2024-02-15T14:02:23Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Autorização Ambiental,71.00.00,"SERVIÇOS DE REPARAÇÃO E MANUTENÇÃO DE MÁQUINAS, EQUIPAMENTOS OU VEÍCULOS, COM PINTURA, EXCETO MANUTENÇÃO DE ELETRODOMÉSTICOS",U,M,NA,-48.718,-26.894,"Rua Henrique Michels Júnior, 330 - Cordeiros",88311715,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73640,Cavalcanti - ME - ME,28713056000102,Cadastrado(Aguardando Documento Digital),2024-02-15T13:23:00Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Renovação LAO,34.31.11,SISTEMA DE COLETA E TRATAMENTO DE ESGOTOS SANITÁRIOS,P,G,NA,726127.715,7022125.602,"Rua Domingos Rampelotti, 655 - São Roque",88317600,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
73613,Lima S/A - EI,54980327000104,Cadastrado(Aguardando Documento Digital),2024-02-15T09:24:33Z,Não Protocolado,Sem Equipe Formada,-,FCEI Cadastrado,Licença Ambiental de Operação de Correção,33.13.19,"ESTRUTURA DE APOIO NÁUTICO - EAN I - TRAPICHE, PIER, ATRACADOURO, RAMPA DE LANÇAMENTO DE EMBARCAÇÕES E PLATAFORMA DE PESCA",G,M,203.047.01.1600.0000.000,727785.45,7025729.95,"Rua José Luiz Marcelino, 1558 - Murta",88311300,ITAJAI (INIS),O requerimento ainda não possui uma licença emitida.
